"Time [ms]","L(Phase_A,Phase_B) [uH]"
8.20000000000002,-45.7552340462575
8.24000000000002,-51.1937469160396
8.28000000000002,-56.8612405810417
8.32000000000002,-62.0403546891126
8.36000000000002,-66.1187711454204
8.40000000000002,-69.203789495234
8.44000000000002,-71.2917574345196
8.48000000000002,-72.3216459531364
8.52000000000002,-71.1509982496697
8.56000000000002,-65.0902269660867
8.60000000000002,-54.7744708051402
8.64000000000002,-42.3499062455904
8.68000000000002,-31.3776383640524
8.72000000000002,-23.9034859371314
8.76000000000002,-20.5369569105846
8.80000000000002,-21.6326002815867
8.84000000000002,-27.5636078150809
8.88000000000002,-38.3307386600282
8.92000000000002,-46.9281009601323
8.96000000000002,-58.2271595345262
9.00000000000002,-70.7386047008231
9.04000000000002,-84.5316272507829
9.08000000000002,-107.385178871827
9.12000000000002,-148.513759924999
9.16000000000002,-190.686784921947
9.20000000000002,-230.729102510771
9.24000000000002,-267.127513005194
9.28000000000002,-300.657851784414
9.32000000000002,-331.0046360986
9.36000000000002,-357.376387883983
9.40000000000002,-379.40545411962
9.44000000000002,-395.926113969473
9.48000000000002,-405.701254754536
9.52000000000002,-410.914204474939
9.56000000000002,-414.042192478528
9.60000000000002,-417.159678540393
9.64000000000002,-420.70889824659
9.68000000000002,-425.254889992286
9.72000000000002,-431.153643497919
9.76000000000002,-438.468581278876
9.80000000000002,-446.650172540219
9.84000000000002,-455.923018424348
9.88000000000002,-468.458988829785
9.92000000000002,-484.76267304809
9.96000000000002,-502.704345367127
10,-518.796465334125
10.04,-530.479418448031
10.08,-535.124440040059
10.12,-532.528782217436
10.16,-524.090883278537
10.2,-512.014797852978
10.24,-500.654272025147
10.28,-491.044024093359
10.32,-483.084264524354
10.36,-477.007231419202
10.4,-470.56016868906
10.44,-455.53093547061
10.48,-440.850271076917
10.52,-430.840478417303
10.56,-425.734614743416
10.6,-425.306482464316
10.64,-428.253049673791
10.68,-432.912813655609
10.72,-436.524838555646
10.76,-436.70843556453
10.8,-430.994254413914
10.84,-419.34153199077
10.88,-405.650075765089
10.92,-392.05018408983
10.96,-378.662978875773
11,-368.532178561527
11.04,-360.06055840003
11.08,-352.959018636275
11.12,-347.0075997083
11.16,-341.505551538705
11.2,-333.171418885474
11.24,-323.456655954914
11.28,-316.198501447638
11.32,-310.826841596208
11.36,-305.691527244523
11.4,-299.719629854615
11.44,-292.794343558502
11.48,-284.833240385329
11.52,-275.860931960788
11.56,-266.64688109866
11.6,-259.118407378936
11.64,-251.308108512787
11.68,-243.309018717394
11.72,-234.320897043239
11.76,-217.7674995535
11.8,-194.124906433296
11.84,-169.806579288942
11.88,-145.573443085805
11.92,-122.600700670766
11.96,-100.342625315811
12,-80.1386387778487
12.04,-62.9088806807297
12.08,-49.6350262558682
12.12,-42.0769639497128
12.16,-41.9506191100702
12.2,-45.7552340376064
12.24,-51.1937469079043
12.28,-56.8612405732295
12.32,-62.0403546819197
12.36,-66.1187711389244
12.4,-69.2037894891648
12.44,-71.2917574290113
12.48,-72.3216459480887
12.52,-71.1509982457789
12.56,-65.090226963236
12.6,-54.7744708031954
12.64,-42.3499062445649
12.68,-31.3776383637967
12.72,-23.9034859376411
12.76,-20.5369569112288
12.8,-21.6326002820665
12.84,-27.56360781527
12.88,-38.3307386600408
12.92,-46.9281009607461
12.96,-58.2271595353527
13,-70.7386047018708
13.04,-84.5316272517088
13.08,-107.38517887072
13.12,-148.513759923193
13.16,-190.686784920378
13.2,-230.729102509923
13.24,-267.127513005662
13.28,-300.657851785828
13.32,-331.004636100862
13.36,-357.376387880144
13.4,-379.405454114235
13.44,-395.926113962121
13.48,-405.701254745465
13.52,-410.914204465068
13.56,-414.042192468975
13.6,-417.159678531176
13.64,-420.70889823768
13.68,-425.254889983792
13.72,-431.153643490106
13.76,-438.468581270736
13.8,-446.650172532021
13.84,-455.923018416037
13.88,-468.458988823057
13.92,-484.762673040884
13.96,-502.70434535907
14,-518.796465326468
14.04,-530.479418439415
14.08,-535.124440030298
14.12,-532.528782206503
14.16,-524.090883268142
14.2,-512.014797842714
14.24,-500.654272015631
14.28,-491.044024084944
14.32,-483.084264517459
14.36,-477.007231412881
14.4,-470.560168682548
14.44,-455.530935464178
14.48,-440.850271070829
14.52,-430.84047841168
14.56,-425.734614737482
14.6,-425.306482459213
14.64,-428.25304966821
14.68,-432.912813649368
14.72,-436.524838549624
14.76,-436.708435557112
14.8,-430.994254404984
14.84,-419.341531980878
14.88,-405.650075756956
14.92,-392.050184082163
14.96,-378.662978868565
15,-368.532178555723
15.04,-360.060558395883
15.08,-352.959018632642
15.12,-347.007599705354
15.16,-341.505551536427
15.2,-333.17141888245
15.24,-323.456655951992
15.28,-316.198501445281
15.32,-310.826841594664
15.36,-305.69152724363
15.4,-299.719629853953
15.44,-292.794343558296
15.48,-284.833240385322
15.52,-275.860931960997
15.56,-266.646881099187
15.6,-259.118407380054
15.64,-251.308108514324
15.68,-243.30901871913
15.72,-234.320897044983
15.76,-217.767499553946
15.8,-194.124906433328
15.84,-169.80657928919
15.88,-145.573443086324
15.92,-122.600700671687
15.96,-100.342625317347
16,-80.1386387804505
16.04,-62.9088806843423
16.08,-49.6350262608582
16.12,-42.0769639569207
16.16,-41.9506191183245
16.2,-45.7552340463306
16.24,-51.1937469161567
16.28,-56.861240581
16.32,-62.0403546891944
16.36,-66.1187711453222
16.4,-69.2037894952485
16.44,-71.2917574344443
16.48,-72.3216459530501
16.52,-71.1509982496647
16.56,-65.0902269661796
16.6,-54.7744708052983
16.64,-42.3499062455414
16.68,-31.3776383640554
16.72,-23.9034859370092
16.76,-20.5369569105559
16.8,-21.6326002814834
16.84,-27.5636078150915
16.88,-38.3307386600816
16.92,-46.9281009601588
16.96,-58.2271595344795
17,-70.738604700759
17.04,-84.5316272507475
17.08,-107.385178871713
17.12,-148.513759924957
17.16,-190.686784921902
17.2,-230.729102510688
17.24,-267.127513005259
17.28,-300.657851784258
17.32,-331.004636098461
17.36,-357.376387883956
17.4,-379.4054541197
